desc,img,title
"Noya Itsuki just started his school year at the Ebisugawa High School and since he has always had a fascination with space, he decides to join the astronomy club. However, he mistakenly walks into the...",https://cdn.myanimelist.net/r/50x70/images/manga/2/36805.jpg?s=54bccc95a8244fbba1c794eb72957984,Ebiten: Kouritsu Ebisugawa Koukou Tenmon-bu
"One day, high school student Nagakura receives a love letter. Heading to the promised tree, the one who was waiting for him is Nishioka...dressed in a sailor girl uniform! Super eccentric ""campus love...",https://cdn.myanimelist.net/r/50x70/images/manga/2/69725.jpg?s=35afd5033b2a9ebec4f4126a2b8571e8,Eccentric Hobby
1. Mula Moolah 2. Mula Mooolah 3. Ohiete! Shuripedia 4. Tagire! Seishun Boxing 5. Beast Limit 6. Nekketsu Otome wa Tomaranai! 7. Chiguhagu Weak Point 8. Reversible Switch 9. Cinderella Apology 10. Oku...,https://cdn.myanimelist.net/r/50x70/images/manga/1/247082.jpg?s=2ed393f12c612940cd0d9970a61959fe,Eccentric Love
,https://cdn.myanimelist.net/r/50x70/images/manga/1/10863.jpg?s=c114999387a0310b5b2eaaa252a7f79a,Eccentric Lover
This manga is about the sexual adventures of three very sexually-curious girls that attend an all-girl's high school. (Source: MU),https://cdn.myanimelist.net/r/50x70/images/manga/2/38170.jpg?s=7b413ea1c1b14dd6a14ce4b86445c05e,Ecchi
,https://cdn.myanimelist.net/r/50x70/images/manga/2/13522.jpg?s=947de395f2276313e6678c511d232527,Ecchi Battle!
,https://cdn.myanimelist.net/r/50x70/images/manga/1/269763.jpg?s=ea4c0e6733bb48041abf429182f73cb0,B & Alive
Sunao always thought she'd fall in love when she started junior high school. But there aren't any attractive boys at school. Still Sunao doesn't give up and meets two handsome upperclassmen. The kind...,https://cdn.myanimelist.net/r/50x70/images/manga/1/5378.jpg?s=560f02bee7673978cf346e59a4a78213,B - Wanted
"G takes place at these points we call boundaries. Boundaries between times, dimensions, destinies, life and death, …It tells the story of young Tomak through his initiatic journey. The Death Grass Spi...",https://cdn.myanimelist.net/r/50x70/images/manga/3/64533.jpg?s=4166d57d48e98e4711e01af032ea70ee,G
"Sakuragi Ryo believes there are three different ranks inside the high school hierarchy. The ""A"" rank consists of the best looking, the smartest, and the most athletic members of the high school. The ""...",https://cdn.myanimelist.net/r/50x70/images/manga/3/135043.jpg?s=6f9d8217c61d8529edee7e86725221b4,B Group no Shounen
"From a young age, Mao Manaka has had a fascination with race cars. One day, fate brings him together with Yoshiki Tsuji, the undisputed champion of formula racing in Japan. It was then that Mao decide...",https://cdn.myanimelist.net/r/50x70/images/manga/1/180764.jpg?s=a783ba9e6f746e5a2a1b4a6f094f8cac,G
"Sakuragi Ryo believes there are three different ranks inside the high school hierarchy. The ""A"" rank consists of the best looking, the smartest, and the most athletic members of the high school. The ""...",https://cdn.myanimelist.net/r/50x70/images/manga/1/131511.jpg?s=338a3d1530e37f268eb8e4ac5132db73,B Group no Shounen
"Akagi Gunma is a young, impetuous, and rash teenager who decides to move to the big city to fulfill his dream of racing a Formula One car. The story follows how this simple farmer boy from the country...",https://cdn.myanimelist.net/r/50x70/images/manga/1/204736.jpg?s=83eb7de67bf8b207f0f313bd9a988439,F
,https://cdn.myanimelist.net/r/50x70/images/manga/2/40310.jpg?s=8888b6bfe5f662daf7f1b3f27437758b,D
,https://cdn.myanimelist.net/r/50x70/images/manga/2/166514.jpg?s=b623dcd7890c18a1bb972e498b809fd0,C Court
"A mysterious ""man"" solves mysteries involving the supernatural.",https://cdn.myanimelist.net/r/50x70/images/manga/3/269179.jpg?s=ca088b54bb3a69d647fc2241336f8622,G Gai Kitan
"""If girls didn't masturbate, that place would smell."" Two high school girls were shocked at the article which was written in a magazine. They have never done it, however, they are going to try. This s...",https://cdn.myanimelist.net/r/50x70/images/manga/3/165139.jpg?s=80a301d2821dc268860acd0c16a7e776,G Joshi!
"Sakuragi Ryou believes there are three different ranks inside the high school hierarchy. The ""A"" rank consists of the best looking, the smartest, and the most athletic members of the high school. The...",https://cdn.myanimelist.net/r/50x70/images/manga/1/186474.jpg?s=95d62776184331b84df3c3fbdb417ba2,B Group no Shounen X
"Since childhood, Remi Mochizuki has known that Sora Kitagami bears an extraordinary power: through physical touch, he experiences the thoughts and history of people and their possessions. Rather than...",https://cdn.myanimelist.net/r/50x70/images/manga/1/92457.jpg?s=af017b8502e750b3111bb621c9951e87,F no Meikyuu
"Three years ago, dungeons suddenly appeared on Earth after an experiment in Area 51 went awry. Now everyone—from average citizens to soldiers—explores these monster-filled labyrinths in search of weal...",https://cdn.myanimelist.net/r/50x70/images/manga/3/264504.jpg?s=ce8ce56ec2732e817076ad4bdda8efed,D Genesis: Dungeon ga Dekite 3-nen
"Hime, a chubby girl, is a university student who is currently looking for a job. At a company briefing, she gets injured and is helped by an employee from the information desk, Osamu. With Osamu looki...",https://cdn.myanimelist.net/r/50x70/images/manga/2/253411.jpg?s=2d44dcf8c7a86c544dbd6d85d1d692ac,-50kg no Cinderella
A group of girls get together to create a BL doujinshi circle.,https://cdn.myanimelist.net/r/50x70/images/manga/1/150076.jpg?s=10e13fc221460cc1cf49d03c1aa770f7,C!!
"Machizo Sakai's father is a successful mangaka (manga artist). Machizo hates that fact because he feels he's living under his father's shadow. One day he meets a boy in his class, Tetsuo, who enjoys d...",https://cdn.myanimelist.net/r/50x70/images/manga/1/37982.jpg?s=8cfb5cd65cd2832de1aa9844da462e6f,G Senjou Heaven's Door
,https://cdn.myanimelist.net/r/50x70/images/manga/1/177993.jpg?s=948355e86187f10e12f518b059c762a9,B no Shokutaku
"In the 19th century, a British man journeys to China in order to seek the perfect leaves for tea. (Source: MU)",https://cdn.myanimelist.net/r/50x70/images/manga/3/251404.jpg?s=4cbb5b460a571578b691acd742a69d75,F no Mitsumei
"Three years ago, dungeons suddenly appeared on Earth after an experiment in Area 51 went awry. Now everyone—from average citizens to soldiers—explores these monster-filled labyrinths in search of weal...",https://cdn.myanimelist.net/r/50x70/images/manga/2/264501.jpg?s=6795ab5f243a1f9fa6b785936733b5af,D Genesis: Dungeon ga Dekite 3-nen
1. Half Moon 2. Private Gallery 3. Lover's Return 4. Night of Dismantlement 5. -6mm no Taboo 6. Neji no Kaiten EX,https://cdn.myanimelist.net/r/50x70/images/manga/2/11878.jpg?s=59052a2da8deb8355cf314f1b2e47d36,-6mm no Taboo
1. kissing number problem 2. Theobromin 3. Reizokusei Club 4. Hishigyaku Shindo 5. on 6. off 7. Katte ni Rakuen-chan (Kari) 8. Soreyuke Rakuen-chan (Kari) 9. Migi no Futari 10. C-,https://cdn.myanimelist.net/r/50x70/images/manga/2/41208.jpg?s=0f7078781c5e11678a6b2aeccb4d8d8c,C-
"Having lost all contact with his sister, Shiyoung, a worried Shion sets out to see what is wrong by arriving in Australia, where his sister was staying. While staying at the share house his sister was...",https://cdn.myanimelist.net/r/50x70/images/manga/2/239008.jpg?s=785619aff76436e709f2e1569f93286e,G'Day
"The story follows Yo!Hey, a boy who raps to the beat of his farts. (Source: ANN)",https://cdn.myanimelist.net/r/50x70/images/manga/1/233599.jpg?s=4e360ec26f8534277c512505d4495674,B Rappers Street
"A biographical manga depicting the success of brazilian F1 driver Ayrton Senna in the 1991 F1 scenario. It covers his first time in the McLaren team, along with some great racing moments, like his dra...",https://cdn.myanimelist.net/r/50x70/images/manga/3/260322.jpg?s=a70d3a9b16a2006f12d0d94a22192482,F no Senkou: Ayrton Senna no Chousen!!
"Daria is a relatively normal girl, despite the fact that she always seems to be the recipient of miracles. But when a strange character appears suddenly, with the intention of keeping his promise to k...",https://cdn.myanimelist.net/r/50x70/images/manga/1/181427.jpg?s=eceda7d9fed210d6f97e74bf120df95d,D no Fuuin
,https://cdn.myanimelist.net/r/50x70/images/manga/3/113997.jpg?s=2eeaed9443707df78d825e35fccef32d,-Crow-
Matsumiya Kana's world is turned upside down when her father is arrested on charges of embezzling from the Ministry of Defense. She decides to escape the trauma by transferring to a private boarding s...,https://cdn.myanimelist.net/r/50x70/images/manga/3/62307.jpg?s=57069b2941f4c01a3b20115ce7f022a1,C-blossom: Case 729
A series of one-shots. Ultra-cute romances that come along with relationship life-lessons.,https://cdn.myanimelist.net/r/50x70/images/manga/1/15305.jpg?s=14f0b6bcf4b896cc5d912a0a6dbde788,C-Kei Otome Renmei
,https://cdn.myanimelist.net/r/50x70/images/manga/2/117175.jpg?s=168f2513046a29755d13c04dab94ea88,G-Cup
"Onodera Kensaku, a self taught martial artist, undefeated street fighter gets his ass whipped by a girl. Not by just any girl, but his home room teacher Asato Nanae and her High Left Kick. You'll see...",https://cdn.myanimelist.net/r/50x70/images/manga/2/15045.jpg?s=60f2003bb0646b15b837a0c7cd97c87d,B Reaction
1. F no Yuuwaku 2. Kisei Musume 3. Futanari wa Suteki? 4. Futanaru 5. Onee-sama wa Milk ga Osuki 6. Secret Island Orgy 7. Shoot Without Using Your Hands 8. Zoushoku Futanari-san 9. Futa Gourmet 10. Se...,https://cdn.myanimelist.net/r/50x70/images/manga/1/108635.jpg?s=68ea036c0c323ca077bdf96d731ffb5e,F no Yuuwaku
"Taking place in the year 1937 on the eve of World War II, the story involves a mysterious spy training organization known as the ""D Agency."" The organization is established by Lieutenant Colonel Yuuki...",https://cdn.myanimelist.net/r/50x70/images/manga/2/161988.jpg?s=3d5c1e3ed8927a4625ee01853dbc53d8,D no Maou
"In a world where it is possible to transfer human souls into objects, manned combat androids named ""Katana"" are used to commit heinous crimes and cause uncontrolled chaos. In response, the government...",https://cdn.myanimelist.net/r/50x70/images/manga/1/158526.jpg?s=06826fa6f348b747aae6d186fb1b448c,-Hitogatana-
"Two youths, Ray and Saki, are leaving the majestic european St.Hainheratsu Theological School for Japan - their task? To subdue the vampires that have spread across the world. It has been a long time...",https://cdn.myanimelist.net/r/50x70/images/manga/2/34590.jpg?s=647febfab73a67d9349e3e0649a721b7,C-R-O-S-S
"I've posessed the body of the sociopath villainess, Illyana! An evil villainess who picks up a boy named Magnus and raises him however she pleases...that Illyana is me?! ""I am going to tame you into a...",https://cdn.myanimelist.net/r/50x70/images/manga/3/265613.jpg?s=61d656481c2464f336daf416d94858ce,A Beast Tamed by the Villainess
,https://cdn.myanimelist.net/r/50x70/images/manga/1/168440.jpg?s=2538e75432393188399476f22e92388b,G-Cup & H-Cup kara no Milk wa Ikaga desu ka?
"A collection of stories for those whom it's decided they ""will die tomorrow.""",https://cdn.myanimelist.net/r/50x70/images/manga/1/185653.jpg?s=b29db479ecb66400585f32b1e29319cc,"B's-LOVEY Anthology: Ashita, Shinu."
,https://cdn.myanimelist.net/r/50x70/images/manga/2/179397.jpg?s=a73958c3972a2369e72df5ef7ff561b9,F-Cup no JC Imouto ga H na Itazura wo Shitekimasu.
,https://cdn.myanimelist.net/r/50x70/images/manga/1/134867.jpg?s=6a53a3ebd96a8ed49544ce42f072d82d,D Sword of Legend
,https://cdn.myanimelist.net/r/50x70/images/manga/1/33246.jpg?s=8eb4dab6768a63972e178de02c3638ad,-Home-
"The third World War is nearing. Each super power country is going through a communications war to prepare for it, a war to obtain the top profiles' information of enemy countries using the Russian's s...",https://cdn.myanimelist.net/r/50x70/images/manga/1/54565.jpg?s=42134e47c7b1c4d03e346e0b5b5c3285,C.A.T.
"Kyouko, a university student, is in love with her best friend Masumi, and is getting to the point where she can't stand it any more. Cue alcohol.",https://cdn.myanimelist.net/r/50x70/images/manga/2/29040.jpg?s=da0684ee69a01025d5d9e9d9f5738405,A Bewildering Flower
,https://cdn.myanimelist.net/r/50x70/images/manga/1/22238.jpg?s=81c6cedafec91a24283052ea11b1df4d,G-Cup Onna Kyoushi Reiko
"A collection of the ""ultimate love stories"" taking place in a world of zombies where a lover is ""the only sustenance I have to survive this world."" (Source: ANN) Note: Story 8 was collected in Ezuke w...",https://cdn.myanimelist.net/r/50x70/images/manga/2/220435.jpg?s=7d8d6c8f0c3393920d9b4f7452397702,B's-LOVEY Anthology: BL of the Dead
"Fuji's high school kendo team has an embarrassing losing streak, but things start to turn around as they suddenly begin winning most of their matches and even qualify for nationals. The secret is the...",https://cdn.myanimelist.net/r/50x70/images/manga/3/220781.jpg?s=e89afa5606c3492da53556f4ef3c7e72,F-Ken
,https://cdn.myanimelist.net/r/50x70/images/manga/3/163053.jpg?s=b82a8a959cfae2e52eae863635ebb5ca,D wa Hitogata Masougu desu.
"""Because I love you."" On a rainy day, when Mai got stood up by the guy she likes she met a beautiful girl who told her that she was the Rain and that she had come because of her tears. After that Mai'...",https://cdn.myanimelist.net/r/50x70/images/manga/2/13072.jpg?s=def5904ac2003cca334bf319b5190523,-rain-
"During the age of exploration and discovery, Europeans who explored the world far away bring home specimens yet unknown in Europe. Those aristocrats and explorers gathered their collection to be shown...",https://cdn.myanimelist.net/r/50x70/images/manga/5/76317.jpg?s=6a7e6bb9f3bfa955f3d7b468faf9d3f6,C.M.B. Shinra Hakubutsukan no Jiken Mokuroku
"The antics of two high school girls: Kim Peongyon and Choi Boa. Kim, aka ""Bias Girl,"" is a foul mouthed, overactive girl and idiot who has weird and strange biased ideas about people and things, and B...",https://cdn.myanimelist.net/r/50x70/images/manga/2/150659.jpg?s=0b3cf5cc073d3e95c65a6e19294de245,A Bias Girl
"Kaburagi Aruto, an average high school student, wishes to become a Shoujo manga artist. One day, she is visited by something from the future. He tells her that she now has to become an amazing ero-man...",https://cdn.myanimelist.net/r/50x70/images/manga/3/70733.jpg?s=c183562f554175eb6c1412d7330815fc,G-Maru Edition
A yaoi anthology by various artists.,https://cdn.myanimelist.net/r/50x70/images/manga/3/221900.jpg?s=9665c4c8e0fbceb5a02fa19a5c8b8432,B's-LOVEY Anthology: Kuzu Otoko
1. In Deep 2. Second Watch 3. Desk Work 4. Matroska 5. Gift 6. Kitakaze to Taiyou 7. Baby-Shit (Their Naptimes Special Surprise) 8. Room Mate,https://cdn.myanimelist.net/r/50x70/images/manga/1/49801.jpg?s=5b2c908b3e93ae6bfc826321e6154dd4,f-mode
Manga version of Jeanne D'Arc's story.,https://cdn.myanimelist.net/r/50x70/images/manga/1/15742.jpg?s=b7b59af052cc24d2b5b8da69e6571ebd,D'Arc : Jeanne D'Arc Den
